Year,Month,Clients,MRR,NMRR,Expansion,New Clients,Churn,Churn MRR,ARR,Churn Rate,Churrn MRR Rate,Excahnge rate year end,Clients,MRR,NMRR,Expansion,New Clients,Churn,Churn MRR,ARR,Churn Rate,Churrn MRR Rate
2023,Jan,19.0000,6579.0000,1260.0000,0.0000,1.0000,5.0000,1877.0000,78948.0000,0.2630,0.2850,4.8600,19.0000,1354.0000,259.0000,0.0000,1.0000,5.0000,386.0000,16244.0000,0.2630,0.2850
2023,Fev,15.0000,7029.0000,800.0000,0.0000,1.0000,1.0000,350.0000,84347.0000,0.0670,0.0500,4.8600,15.0000,1446.0000,165.0000,0.0000,1.0000,1.0000,72.0000,17355.0000,0.0670,0.0500
2023,Mar,17.0000,9250.0000,2821.0000,0.0000,3.0000,1.0000,600.0000,111004.0000,0.0590,0.0650,4.8600,17.0000,1903.0000,581.0000,0.0000,3.0000,1.0000,123.0000,22840.0000,0.0590,0.0650
2023,Abr,16.0000,8451.0000,0.0000,0.0000,0.0000,2.0000,800.0000,101406.0000,0.1250,0.0950,4.8600,16.0000,1739.0000,0.0000,0.0000,0.0000,2.0000,165.0000,20865.0000,0.1250,0.0950
2023,Mai,18.0000,11379.0000,3699.0000,0.0000,4.0000,3.0000,770.0000,136553.0000,0.1670,0.0680,4.8600,18.0000,2341.0000,761.0000,0.0000,4.0000,3.0000,158.0000,28097.0000,0.1670,0.0680
2023,Jun,22.0000,21476.0000,6497.0000,3600.0000,7.0000,0.0000,0.0000,257717.0000,0.0000,0.0000,4.8600,22.0000,4419.0000,1337.0000,741.0000,7.0000,0.0000,0.0000,53028.0000,0.0000,0.0000
2023,Jul,28.0000,27476.0000,5500.0000,500.0000,6.0000,0.0000,0.0000,329711.0000,0.0000,0.0000,4.8600,28.0000,5653.0000,1132.0000,103.0000,6.0000,0.0000,0.0000,67842.0000,0.0000,0.0000
2023,Ago,42.0000,39175.0000,11199.0000,500.0000,14.0000,0.0000,0.0000,470098.0000,0.0000,0.0000,4.8600,42.0000,8061.0000,2304.0000,103.0000,14.0000,0.0000,0.0000,96728.0000,0.0000,0.0000
2023,Set,48.0000,51404.0000,12529.0000,200.0000,8.0000,0.0000,0.0000,616848.0000,0.0000,0.0000,4.8600,48.0000,10577.0000,2578.0000,41.0000,8.0000,0.0000,0.0000,126923.0000,0.0000,0.0000
2023,Out,64.0000,65503.0000,12699.0000,900.0000,15.0000,0.0000,0.0000,786039.0000,0.0000,0.0000,4.8600,64.0000,13478.0000,2613.0000,185.0000,15.0000,0.0000,0.0000,161736.0000,0.0000,0.0000
